ItemID,Category,ItemName,Vendor,Location,Status,Quantity,UnitCost,TotalValue,ReorderPoint,ReorderQuantity,LeadTimeDays,LastOrderDate,PurchaseDate,WarrantyMonths,Department
ITEM1030,Laptops,ASUS Laptops 8622,ASUS,Remote-Stock,Out of Stock,0,1412,0,17,65,25,2024-07-14,2022-11-05,12,Engineering
ITEM1031,Laptops,HP Laptops 1517,HP,Branch-NY,In Transit,38,582,22116,7,52,6,2024-04-23,2023-07-11,24,Sales
ITEM1032,Laptops,Cisco Laptops 2518,Cisco,Branch-NY,In Stock,13,171,2223,9,35,20,2024-07-16,2022-12-29,48,Operations
ITEM1033,Laptops,Microsoft Laptops 6276,Microsoft,Remote-Stock,Allocated,65,1318,85670,14,35,11,2024-01-27,2023-05-19,36,Sales
ITEM1034,Laptops,Samsung Laptops 2392,Samsung,Remote-Stock,In Stock,69,1327,91563,7,63,18,2024-01-10,2024-05-28,12,Sales
ITEM1035,Laptops,Lenovo Laptops 1677,Lenovo,Branch-NY,Out of Stock,0,2048,0,9,57,22,2024-05-17,2022-10-20,48,Operations
ITEM1036,Laptops,Cisco Laptops 8057,Cisco,Branch-Seattle,Out of Stock,0,1583,0,17,67,12,2024-10-07,2022-01-24,36,Marketing
ITEM1037,Laptops,Logitech Laptops 1375,Logitech,HQ-Warehouse,In Transit,100,837,83700,16,55,8,2024-05-18,2024-05-30,48,IT
ITEM1038,Laptops,Lenovo Laptops 4326,Lenovo,HQ-Warehouse,In Stock,46,512,23552,13,56,27,2024-02-02,2024-06-14,12,Operations
ITEM1039,Laptops,Cisco Laptops 5891,Cisco,Branch-Seattle,Under Repair,99,1129,111771,20,63,34,2024-01-07,2023-02-06,48,Operations
ITEM1040,Laptops,Dell Laptops 5485,Dell,Branch-Chicago,In Stock,15,735,11025,10,59,24,2024-02-09,2024-06-09,36,IT
ITEM1041,Laptops,Lenovo Laptops 7995,Lenovo,Branch-Seattle,In Stock,61,331,20191,5,21,12,2024-03-10,2022-07-24,12,Operations
ITEM1042,Laptops,Samsung Laptops 8004,Samsung,Remote-Stock,In Transit,54,961,51894,18,36,21,2024-10-07,2024-02-26,36,Engineering
ITEM1043,Laptops,Microsoft Laptops 4877,Microsoft,Branch-LA,Allocated,63,1139,71757,23,63,6,2024-10-22,2022-06-05,48,Sales
ITEM1044,Laptops,Microsoft Laptops 3913,Microsoft,Branch-Chicago,Out of Stock,0,1412,0,13,67,33,2024-04-02,2024-05-20,48,Operations
ITEM1045,Laptops,Apple Laptops 6444,Apple,Branch-Seattle,In Stock,61,1044,63684,21,33,26,2024-04-14,2024-07-28,48,HR
ITEM1046,Laptops,Dell Laptops 1067,Dell,Remote-Stock,In Transit,16,2002,32032,13,25,33,2024-01-05,2022-04-16,24,Engineering
ITEM1047,Laptops,Microsoft Laptops 3642,Microsoft,Branch-NY,In Transit,50,1250,62500,15,35,22,2024-10-10,2023-11-23,48,IT
ITEM1048,Laptops,HP Laptops 1077,HP,Branch-LA,In Stock,31,911,28241,18,54,8,2024-10-10,2024-03-21,36,Marketing
ITEM1049,Laptops,Dell Laptops 4103,Dell,Branch-Chicago,In Transit,18,358,6444,19,26,9,2024-04-14,2022-01-05,36,Operations
ITEM1050,Laptops,Samsung Laptops 1000,Samsung,Branch-Seattle,Obsolete,80,1647,131760,8,52,15,2024-07-03,2023-12-12,36,HR
ITEM1051,Laptops,Logitech Laptops 6649,Logitech,Branch-Chicago,Obsolete,94,1296,121824,13,22,7,2024-05-07,2023-03-07,12,Operations
ITEM1052,Laptops,Microsoft Laptops 5427,Microsoft,Branch-Chicago,In Stock,44,2097,92268,12,47,33,2024-05-22,2023-03-05,24,Operations
ITEM1053,Laptops,ASUS Laptops 3565,ASUS,Branch-Seattle,Allocated,72,2056,148032,20,56,24,2024-08-28,2023-09-09,12,Engineering
ITEM1054,Laptops,Samsung Laptops 6241,Samsung,HQ-Warehouse,Out of Stock,0,1706,0,12,64,9,2024-03-22,2023-03-24,24,HR
ITEM1055,Laptops,Logitech Laptops 6184,Logitech,Branch-LA,In Transit,12,2051,24612,8,39,10,2024-03-03,2024-01-26,36,Finance
ITEM1056,Laptops,Microsoft Laptops 4509,Microsoft,Remote-Stock,Under Repair,71,1655,117505,14,40,32,2024-06-04,2022-06-26,24,IT
ITEM1057,Laptops,Cisco Laptops 1530,Cisco,Branch-NY,In Transit,55,551,30305,10,24,9,2024-09-11,2023-08-13,48,HR
ITEM1058,Laptops,Microsoft Laptops 4396,Microsoft,Branch-Seattle,Allocated,99,415,41085,15,22,14,2024-04-17,2022-06-20,12,Sales
ITEM1059,Laptops,LG Laptops 3047,LG,Branch-LA,Out of Stock,0,554,0,13,54,17,2024-02-02,2024-06-03,24,Sales
ITEM1060,Laptops,Samsung Laptops 7153,Samsung,Branch-Chicago,In Stock,20,1654,33080,7,52,11,2024-01-20,2024-02-21,48,Sales
ITEM1061,Laptops,Lenovo Laptops 6559,Lenovo,Branch-LA,In Transit,54,1383,74682,12,58,6,2024-07-15,2023-12-16,12,Engineering
ITEM1062,Laptops,Logitech Laptops 4494,Logitech,Branch-Chicago,In Stock,6,892,5352,6,62,16,2024-02-26,2023-03-11,12,HR
ITEM1063,Laptops,HP Laptops 4768,HP,Branch-LA,In Stock,93,684,63612,23,26,28,2024-01-19,2023-04-14,48,Engineering
ITEM1064,Laptops,Dell Laptops 4208,Dell,Branch-Seattle,Allocated,6,579,3474,10,32,34,2024-05-10,2023-06-09,12,Marketing
ITEM1065,Laptops,HP Laptops 8808,HP,Branch-Seattle,In Stock,66,1661,109626,24,38,6,2024-01-02,2023-08-06,24,IT
ITEM1066,Laptops,Logitech Laptops 3385,Logitech,Branch-LA,Under Repair,21,1432,30072,5,42,8,2024-10-05,2022-11-14,12,HR
ITEM1067,Laptops,Lenovo Laptops 2286,Lenovo,Branch-Seattle,Obsolete,80,889,71120,22,55,34,2024-09-12,2022-02-21,48,Finance
ITEM1068,Laptops,Cisco Laptops 8549,Cisco,Remote-Stock,In Transit,100,1624,162400,21,64,5,2024-09-17,2022-03-27,48,IT
ITEM1069,Laptops,Apple Laptops 8820,Apple,Remote-Stock,Out of Stock,0,628,0,12,27,28,2024-09-18,2024-05-07,48,Sales
ITEM1070,Laptops,Samsung Laptops 8983,Samsung,Branch-NY,Allocated,18,2088,37584,20,68,23,2024-09-07,2024-07-29,48,Sales
ITEM1071,Laptops,HP Laptops 3748,HP,Branch-Seattle,Out of Stock,0,1645,0,24,56,30,2024-08-16,2022-08-22,36,Engineering
ITEM1072,Desktops,LG Desktops 6866,LG,Branch-Chicago,In Stock,50,496,24800,5,47,5,2024-04-21,2023-06-03,36,Marketing
ITEM1073,Desktops,Apple Desktops 9669,Apple,HQ-Warehouse,In Stock,66,222,14652,15,55,10,2024-03-15,2023-11-01,48,Sales
ITEM1074,Desktops,ASUS Desktops 2817,ASUS,Branch-NY,Allocated,46,302,13892,9,49,8,2024-08-17,2022-10-22,36,Engineering
ITEM1075,Desktops,Dell Desktops 5636,Dell,Remote-Stock,Allocated,35,464,16240,15,26,14,2024-09-28,2022-09-17,24,IT
ITEM1076,Desktops,Lenovo Desktops 8447,Lenovo,Branch-LA,Under Repair,66,1954,128964,20,24,20,2024-03-24,2024-09-02,12,Operations
ITEM1077,Desktops,Microsoft Desktops 8646,Microsoft,Remote-Stock,In Stock,10,1498,14980,10,49,13,2024-08-19,2022-01-08,24,Sales
ITEM1078,Desktops,Cisco Desktops 3547,Cisco,Branch-Seattle,Allocated,37,930,34410,11,61,13,2024-03-19,2023-01-15,24,Finance
ITEM1079,Desktops,Cisco Desktops 6115,Cisco,Branch-LA,Under Repair,15,1768,26520,24,42,30,2024-07-27,2023-07-11,36,Sales
ITEM1080,Desktops,Apple Desktops 4502,Apple,Remote-Stock,Out of Stock,0,864,0,10,54,6,2024-01-20,2024-08-25,48,IT
ITEM1081,Desktops,Cisco Desktops 4864,Cisco,Branch-Chicago,In Transit,11,391,4301,8,20,13,2024-08-16,2023-03-07,24,IT
ITEM1082,Desktops,Logitech Desktops 7371,Logitech,Branch-LA,In Transit,71,1373,97483,21,57,5,2024-07-01,2022-12-22,24,IT
ITEM1083,Desktops,LG Desktops 4282,LG,Remote-Stock,Obsolete,80,2056,164480,21,36,20,2024-01-15,2022-01-05,48,Operations
ITEM1084,Desktops,Microsoft Desktops 9296,Microsoft,Branch-NY,Under Repair,63,1399,88137,9,45,25,2024-02-13,2022-08-23,12,Operations
ITEM1085,Desktops,ASUS Desktops 7152,ASUS,HQ-Warehouse,In Stock,53,182,9646,11,59,28,2024-07-09,2024-07-23,48,Marketing
ITEM1086,Desktops,ASUS Desktops 2964,ASUS,HQ-Warehouse,Obsolete,3,536,1608,5,23,8,2024-03-23,2024-05-15,36,HR
ITEM1087,Desktops,Samsung Desktops 6440,Samsung,HQ-Warehouse,Obsolete,56,1189,66584,12,25,12,2024-10-09,2023-09-01,36,HR
ITEM1088,Desktops,Lenovo Desktops 4845,Lenovo,Remote-Stock,Allocated,69,1316,90804,11,59,31,2024-09-23,2024-08-07,12,Operations
ITEM1089,Desktops,Cisco Desktops 1979,Cisco,Branch-Seattle,In Transit,55,1728,95040,24,22,33,2024-02-05,2023-08-31,12,HR
ITEM1090,Desktops,LG Desktops 7974,LG,Branch-LA,In Transit,23,1560,35880,15,54,27,2024-08-07,2024-05-06,36,IT
ITEM1091,Desktops,HP Desktops 2037,HP,Branch-NY,Out of Stock,0,1650,0,17,64,13,2024-02-26,2023-08-03,48,IT
ITEM1092,Desktops,HP Desktops 8829,HP,Remote-Stock,In Transit,55,263,14465,15,39,22,2024-07-22,2024-09-20,48,Finance
ITEM1093,Desktops,Cisco Desktops 5733,Cisco,Branch-Seattle,Allocated,53,2025,107325,5,65,10,2024-06-05,2022-07-03,24,Sales
ITEM1094,Desktops,Cisco Desktops 1061,Cisco,Remote-Stock,In Stock,19,2060,39140,6,46,5,2024-02-12,2022-03-18,12,Finance
ITEM1095,Desktops,ASUS Desktops 4498,ASUS,Branch-LA,Allocated,55,1774,97570,17,48,22,2024-07-25,2024-06-24,12,Engineering
ITEM1096,Desktops,Logitech Desktops 3101,Logitech,HQ-Warehouse,Under Repair,67,532,35644,23,44,33,2024-04-13,2023-01-23,24,Sales
ITEM1097,Desktops,Samsung Desktops 1881,Samsung,Branch-Seattle,Under Repair,71,207,14697,18,22,18,2024-04-22,2023-04-02,24,HR
ITEM1098,Desktops,Logitech Desktops 8369,Logitech,Branch-Chicago,In Transit,6,1468,8808,11,56,10,2024-02-15,2023-03-19,36,Finance
ITEM1099,Desktops,Cisco Desktops 3243,Cisco,Branch-Chicago,Out of Stock,0,363,0,17,43,29,2024-10-20,2024-01-02,12,Operations
ITEM1100,Desktops,HP Desktops 3409,HP,Remote-Stock,Obsolete,97,890,86330,18,40,18,2024-05-14,2023-06-16,36,IT
ITEM1101,Desktops,Lenovo Desktops 8551,Lenovo,Remote-Stock,Under Repair,25,168,4200,24,50,8,2024-04-01,2022-12-11,12,HR
ITEM1102,Desktops,Microsoft Desktops 1649,Microsoft,Branch-Seattle,Allocated,62,1400,86800,6,58,6,2024-04-04,2024-03-31,12,Sales
ITEM1103,Desktops,HP Desktops 3682,HP,Branch-Chicago,Out of Stock,0,1869,0,12,51,18,2024-02-02,2023-11-02,12,IT
ITEM1104,Desktops,Apple Desktops 7571,Apple,Branch-NY,In Stock,1,903,903,21,51,18,2024-06-14,2022-09-18,24,Engineering
ITEM1105,Desktops,Lenovo Desktops 4085,Lenovo,Branch-Chicago,In Transit,3,233,699,13,31,22,2024-02-25,2022-12-04,24,Operations
ITEM1106,Desktops,Logitech Desktops 1186,Logitech,Remote-Stock,Under Repair,92,1842,169464,24,50,13,2024-02-18,2022-06-16,36,Operations
ITEM1107,Desktops,Dell Desktops 8576,Dell,Branch-Seattle,Obsolete,37,1667,61679,7,35,23,2024-10-17,2024-02-18,12,Marketing
ITEM1108,Desktops,LG Desktops 6098,LG,Branch-Seattle,In Stock,44,752,33088,14,62,23,2024-02-12,2022-07-13,12,Engineering
ITEM1109,Desktops,Apple Desktops 8359,Apple,Branch-LA,Obsolete,74,246,18204,16,38,18,2024-06-16,2022-03-22,36,HR
ITEM1110,Desktops,HP Desktops 4002,HP,HQ-Warehouse,In Transit,70,678,47460,22,51,33,2024-08-23,2022-04-21,48,IT
ITEM1111,Desktops,Lenovo Desktops 5667,Lenovo,Branch-Seattle,Allocated,31,711,22041,19,26,16,2024-08-17,2024-03-23,24,Sales
ITEM1112,Desktops,Samsung Desktops 7704,Samsung,HQ-Warehouse,In Transit,100,1470,147000,23,21,33,2024-04-29,2022-09-25,48,IT
ITEM1113,Desktops,Samsung Desktops 1721,Samsung,Branch-Chicago,Under Repair,98,278,27244,5,46,16,2024-08-28,2022-11-25,36,IT
ITEM1114,Desktops,Dell Desktops 6929,Dell,Remote-Stock,In Stock,62,1606,99572,6,42,30,2024-08-06,2022-10-17,48,Engineering
ITEM1115,Desktops,Microsoft Desktops 7268,Microsoft,Branch-Chicago,In Stock,66,1613,106458,23,66,16,2024-10-30,2024-02-26,36,Marketing
ITEM1116,Desktops,LG Desktops 4164,LG,Remote-Stock,In Transit,15,554,8310,6,20,15,2024-04-07,2022-03-19,12,Marketing
ITEM1117,Desktops,Dell Desktops 2722,Dell,Branch-Seattle,In Transit,60,671,40260,20,32,28,2024-09-20,2023-08-05,24,Engineering
ITEM1118,Desktops,HP Desktops 8035,HP,Branch-NY,Allocated,1,2076,2076,9,27,33,2024-08-13,2023-02-04,48,Operations
ITEM1119,Desktops,Microsoft Desktops 3482,Microsoft,Branch-Seattle,In Transit,2,1981,3962,16,63,11,2024-10-04,2023-08-22,36,Marketing
ITEM1120,Desktops,HP Desktops 4920,HP,HQ-Warehouse,In Stock,55,278,15290,9,21,28,2024-04-26,2024-06-25,12,Marketing
ITEM1121,Desktops,Logitech Desktops 2463,Logitech,Remote-Stock,Out of Stock,0,835,0,20,31,31,2024-05-01,2024-04-09,36,Finance
ITEM1122,Desktops,LG Desktops 3374,LG,Branch-Seattle,In Stock,64,1448,92672,12,33,24,2024-05-14,2024-02-23,24,Sales
ITEM1123,Desktops,HP Desktops 8749,HP,Branch-NY,Under Repair,96,1471,141216,15,27,31,2024-06-17,2022-03-11,24,Finance
ITEM1124,Desktops,Microsoft Desktops 4569,Microsoft,Branch-Seattle,In Stock,97,273,26481,23,46,9,2024-02-25,2022-10-03,48,HR
ITEM1125,Desktops,ASUS Desktops 5308,ASUS,Branch-Chicago,Under Repair,83,1752,145416,23,28,8,2024-01-14,2024-08-31,48,Marketing
ITEM1126,Desktops,Cisco Desktops 2061,Cisco,HQ-Warehouse,Obsolete,62,2015,124930,21,60,10,2024-03-23,2024-02-25,48,IT
ITEM1127,Monitors,Logitech Monitors 6106,Logitech,Remote-Stock,In Transit,11,2083,22913,24,25,11,2024-08-09,2023-02-17,24,Operations
ITEM1128,Monitors,Dell Monitors 1126,Dell,Branch-Seattle,In Stock,73,1191,86943,24,56,21,2024-01-10,2022-11-09,12,HR
ITEM1129,Monitors,Logitech Monitors 5442,Logitech,Branch-NY,In Transit,98,1866,182868,9,28,8,2024-10-08,2023-03-22,48,Engineering
ITEM1130,Monitors,Samsung Monitors 2204,Samsung,Branch-NY,Obsolete,67,721,48307,12,65,17,2024-05-30,2023-08-16,36,HR
ITEM1131,Monitors,Apple Monitors 8017,Apple,Branch-NY,In Stock,98,1864,182672,21,55,21,2024-08-13,2022-08-25,24,Engineering
ITEM1132,Monitors,Logitech Monitors 4810,Logitech,Branch-Seattle,Under Repair,72,149,10728,16,24,5,2024-09-02,2024-02-04,48,Finance
ITEM1133,Monitors,Microsoft Monitors 4273,Microsoft,Branch-LA,Allocated,84,879,73836,23,22,21,2024-02-01,2024-01-18,48,Finance
ITEM1134,Monitors,Apple Monitors 7765,Apple,Branch-LA,Allocated,93,1131,105183,10,38,32,2024-04-13,2023-06-06,48,Marketing
ITEM1135,Monitors,Microsoft Monitors 7132,Microsoft,Remote-Stock,In Transit,30,142,4260,21,41,10,2024-03-22,2023-04-03,36,Marketing
ITEM1136,Monitors,Dell Monitors 2796,Dell,Branch-LA,In Stock,74,339,25086,6,59,12,2024-03-02,2022-09-24,12,Marketing
ITEM1137,Monitors,LG Monitors 4924,LG,Branch-LA,In Stock,78,696,54288,18,48,10,2024-08-31,2022-06-23,36,IT
ITEM1138,Monitors,Samsung Monitors 5198,Samsung,Remote-Stock,Obsolete,69,1862,128478,14,23,13,2024-07-26,2024-06-23,36,Operations
ITEM1139,Monitors,ASUS Monitors 8544,ASUS,Branch-LA,Out of Stock,0,1510,0,7,63,12,2024-04-14,2024-07-27,48,Operations
ITEM1140,Monitors,ASUS Monitors 3555,ASUS,Branch-Chicago,Out of Stock,0,1868,0,15,20,21,2024-10-24,2023-07-31,12,IT
ITEM1141,Monitors,Dell Monitors 9521,Dell,Remote-Stock,In Transit,81,693,56133,7,25,16,2024-01-03,2022-09-03,12,Engineering
ITEM1142,Monitors,ASUS Monitors 4715,ASUS,Branch-Seattle,In Transit,97,975,94575,20,64,29,2024-10-15,2023-06-21,48,IT
ITEM1143,Monitors,HP Monitors 3593,HP,HQ-Warehouse,Obsolete,28,1630,45640,8,23,27,2024-02-18,2022-09-24,24,HR
ITEM1144,Monitors,Lenovo Monitors 4672,Lenovo,Branch-NY,In Transit,56,1503,84168,24,44,18,2024-04-26,2022-04-24,48,Sales
ITEM1145,Monitors,Logitech Monitors 4003,Logitech,Remote-Stock,Out of Stock,0,803,0,19,62,34,2024-02-29,2023-07-29,48,Engineering
ITEM1146,Monitors,Apple Monitors 3057,Apple,Branch-LA,In Stock,59,162,9558,23,30,32,2024-01-03,2023-11-27,36,Operations
ITEM1147,Monitors,LG Monitors 6945,LG,HQ-Warehouse,Allocated,55,1925,105875,9,46,28,2024-02-14,2023-03-12,36,HR
ITEM1148,Monitors,Cisco Monitors 9472,Cisco,Branch-NY,Under Repair,28,1306,36568,19,50,18,2024-01-25,2024-06-23,12,Marketing
ITEM1149,Monitors,Apple Monitors 2145,Apple,Branch-LA,Allocated,7,344,2408,18,28,28,2024-09-26,2023-08-22,36,Sales
ITEM1150,Monitors,Apple Monitors 9895,Apple,Remote-Stock,Out of Stock,0,974,0,20,57,12,2024-10-07,2023-01-21,24,Engineering
ITEM1151,Monitors,Cisco Monitors 4089,Cisco,Remote-Stock,Out of Stock,0,1983,0,20,55,16,2024-02-02,2024-09-11,48,Marketing
ITEM1152,Monitors,Samsung Monitors 4426,Samsung,Remote-Stock,Out of Stock,0,1768,0,5,47,20,2024-05-03,2022-07-24,12,Sales
ITEM1153,Monitors,LG Monitors 4637,LG,Branch-Chicago,Obsolete,56,867,48552,17,46,7,2024-02-12,2022-06-21,12,Operations
ITEM1154,Monitors,Logitech Monitors 6572,Logitech,Branch-Chicago,In Stock,3,1868,5604,14,47,33,2024-03-03,2022-07-16,48,Operations
ITEM1155,Monitors,Microsoft Monitors 9243,Microsoft,Remote-Stock,Under Repair,87,911,79257,10,58,25,2024-01-29,2023-05-19,24,IT
ITEM1156,Monitors,Logitech Monitors 3495,Logitech,Branch-NY,In Stock,80,834,66720,16,50,10,2024-07-12,2022-08-27,24,IT
ITEM1157,Monitors,Lenovo Monitors 4137,Lenovo,Branch-NY,Allocated,92,1434,131928,17,25,11,2024-09-16,2022-06-03,48,IT
ITEM1158,Monitors,HP Monitors 1475,HP,Branch-LA,In Stock,88,334,29392,7,34,21,2024-07-13,2022-10-09,48,Finance
ITEM1159,Monitors,ASUS Monitors 2644,ASUS,Branch-NY,In Stock,94,689,64766,14,35,7,2024-06-29,2022-04-09,24,HR
ITEM1160,Monitors,Samsung Monitors 1599,Samsung,HQ-Warehouse,In Stock,84,228,19152,24,46,11,2024-04-01,2023-12-11,36,Sales
ITEM1161,Monitors,LG Monitors 2770,LG,HQ-Warehouse,In Transit,5,1882,9410,13,38,25,2024-09-07,2023-07-23,24,Finance
ITEM1162,Monitors,LG Monitors 1367,LG,HQ-Warehouse,Under Repair,30,239,7170,16,56,9,2024-02-29,2022-04-08,36,HR
ITEM1163,Monitors,LG Monitors 1029,LG,Branch-Seattle,Allocated,78,878,68484,22,47,20,2024-10-30,2024-06-09,36,Finance
ITEM1164,Monitors,Dell Monitors 4069,Dell,Branch-Chicago,Allocated,13,1992,25896,19,30,26,2024-09-04,2023-04-18,48,IT
ITEM1165,Monitors,Microsoft Monitors 3648,Microsoft,Branch-LA,In Stock,4,1621,6484,15,56,5,2024-08-26,2022-11-30,24,Sales
ITEM1166,Monitors,Logitech Monitors 2048,Logitech,Remote-Stock,Under Repair,94,909,85446,6,69,33,2024-08-07,2022-03-25,36,Sales
ITEM1167,Monitors,Samsung Monitors 9505,Samsung,Branch-Seattle,In Stock,89,2056,182984,23,43,14,2024-01-13,2024-02-27,36,Operations
ITEM1168,Monitors,HP Monitors 2173,HP,Branch-Chicago,Out of Stock,0,1917,0,11,25,19,2024-06-16,2023-08-25,36,Operations
ITEM1169,Monitors,Dell Monitors 5770,Dell,Branch-LA,In Stock,20,1257,25140,18,65,18,2024-04-10,2024-04-06,48,Engineering
ITEM1170,Monitors,HP Monitors 5128,HP,Branch-NY,Out of Stock,0,1789,0,23,55,7,2024-04-15,2024-06-07,36,Marketing
ITEM1171,Monitors,HP Monitors 9741,HP,Branch-Seattle,Allocated,47,1950,91650,14,32,5,2024-05-13,2023-11-12,24,Operations
ITEM1172,Monitors,Cisco Monitors 7354,Cisco,HQ-Warehouse,In Stock,44,894,39336,9,50,27,2024-07-16,2022-04-06,12,Sales
ITEM1173,Monitors,ASUS Monitors 2240,ASUS,HQ-Warehouse,Out of Stock,0,1425,0,17,39,11,2024-04-17,2023-12-01,48,HR
ITEM1174,Monitors,Dell Monitors 4523,Dell,Branch-LA,Allocated,13,1636,21268,5,36,21,2024-05-17,2024-01-31,12,HR
ITEM1175,Monitors,Cisco Monitors 3236,Cisco,Branch-NY,In Stock,43,226,9718,7,47,26,2024-03-22,2023-05-29,36,Finance
ITEM1176,Monitors,ASUS Monitors 4015,ASUS,Branch-Chicago,Allocated,14,1414,19796,18,65,26,2024-07-07,2022-05-11,12,Engineering
ITEM1177,Monitors,ASUS Monitors 3983,ASUS,Remote-Stock,Out of Stock,0,1106,0,21,22,19,2024-02-11,2024-04-20,36,Sales
ITEM1178,Monitors,Logitech Monitors 2809,Logitech,Remote-Stock,Allocated,97,1926,186822,20,60,11,2024-08-02,2022-08-09,12,Engineering
ITEM1179,Keyboards,Logitech Keyboards 4609,Logitech,Branch-Chicago,Allocated,85,1757,149345,21,33,26,2024-02-02,2023-12-06,12,Sales
ITEM1180,Keyboards,HP Keyboards 4735,HP,Remote-Stock,In Stock,88,699,61512,21,63,25,2024-07-14,2024-09-23,36,Sales
ITEM1181,Keyboards,LG Keyboards 5150,LG,Branch-NY,Under Repair,44,1586,69784,23,48,12,2024-05-27,2024-04-05,24,HR
ITEM1182,Keyboards,Microsoft Keyboards 2015,Microsoft,Branch-Seattle,In Transit,31,2036,63116,24,58,13,2024-02-22,2022-11-03,48,Marketing
