TransactionID,ItemID,TransactionDate,TransactionType,Quantity,UnitCost,Location,Department,Notes
TXN2798,ITEM1230,2024-01-02,Allocation,9,987,Branch-Seattle,Engineering,
TXN3733,ITEM1307,2024-01-02,Allocation,5,1303,Branch-LA,Engineering,
TXN3776,ITEM1313,2024-01-02,Disposal,7,1824,Branch-Seattle,HR,End of life
TXN3857,ITEM1319,2024-01-02,Transfer,7,1323,Branch-LA,Operations,
TXN3995,ITEM1331,2024-01-02,Transfer,7,1434,Branch-Seattle,Operations,
TXN4030,ITEM1334,2024-01-02,Allocation,1,340,Branch-Chicago,HR,
TXN4148,ITEM1343,2024-01-02,Transfer,9,1939,Branch-Chicago,IT,
TXN4830,ITEM1399,2024-01-02,Purchase,2,641,Branch-LA,Marketing,
TXN5056,ITEM1416,2024-01-02,Disposal,10,491,Remote-Stock,Engineering,End of life
TXN5545,ITEM1456,2024-01-02,Return,10,1296,Branch-NY,IT,Defective
TXN5741,ITEM1472,2024-01-02,Transfer,6,1857,Branch-NY,Marketing,
TXN5780,ITEM1476,2024-01-02,Allocation,6,1586,Branch-LA,HR,
TXN6483,ITEM1536,2024-01-02,Purchase,9,1469,HQ-Warehouse,Sales,
TXN7436,ITEM1618,2024-01-02,Disposal,9,902,Branch-NY,HR,End of life
TXN7763,ITEM1644,2024-01-02,Purchase,7,922,Branch-Seattle,Operations,
TXN8075,ITEM1669,2024-01-02,Disposal,2,2018,Branch-Seattle,Operations,End of life
TXN14,ITEM1001,2024-01-03,Return,7,632,Remote-Stock,Marketing,Defective
TXN350,ITEM1028,2024-01-03,Purchase,10,1783,Branch-NY,Sales,
TXN422,ITEM1036,2024-01-03,Transfer,5,1594,Branch-Seattle,Marketing,
TXN1524,ITEM1125,2024-01-03,Disposal,8,1707,Branch-Chicago,Marketing,End of life
TXN1734,ITEM1144,2024-01-03,Allocation,10,1537,Branch-NY,Sales,
TXN2038,ITEM1169,2024-01-03,Allocation,6,1287,Branch-LA,Engineering,
TXN2463,ITEM1204,2024-01-03,Return,8,1930,Branch-LA,HR,Defective
TXN3319,ITEM1272,2024-01-03,Disposal,3,721,Branch-NY,Sales,End of life
TXN3861,ITEM1319,2024-01-03,Disposal,4,1278,Branch-LA,Operations,End of life
TXN4024,ITEM1333,2024-01-03,Purchase,10,162,Branch-NY,Marketing,
TXN4117,ITEM1341,2024-01-03,Transfer,6,640,Remote-Stock,IT,
TXN4322,ITEM1357,2024-01-03,Return,10,254,Remote-Stock,Marketing,Defective
TXN4326,ITEM1357,2024-01-03,Purchase,3,290,Remote-Stock,Marketing,
TXN4633,ITEM1384,2024-01-03,Allocation,5,562,Branch-NY,HR,
TXN5191,ITEM1427,2024-01-03,Allocation,4,924,Branch-NY,IT,
TXN5526,ITEM1455,2024-01-03,Disposal,5,509,Branch-Seattle,Operations,End of life
TXN5664,ITEM1467,2024-01-03,Transfer,7,1555,Branch-Chicago,Operations,
TXN6485,ITEM1536,2024-01-03,Return,8,1518,HQ-Warehouse,Sales,Defective
TXN6670,ITEM1552,2024-01-03,Purchase,7,482,Branch-LA,Operations,
TXN7104,ITEM1588,2024-01-03,Transfer,8,1431,Branch-LA,Finance,
TXN7125,ITEM1590,2024-01-03,Purchase,5,627,Branch-Seattle,Engineering,
TXN7132,ITEM1590,2024-01-03,Return,8,539,Branch-Seattle,Engineering,Defective
TXN7190,ITEM1597,2024-01-03,Allocation,7,383,Branch-LA,IT,
TXN7664,ITEM1636,2024-01-03,Transfer,5,117,Branch-LA,Sales,
TXN7779,ITEM1645,2024-01-03,Transfer,9,1516,HQ-Warehouse,Marketing,
TXN500,ITEM1041,2024-01-04,Return,6,349,Branch-Seattle,Operations,Defective
TXN1110,ITEM1092,2024-01-04,Allocation,3,238,Remote-Stock,Finance,
TXN1332,ITEM1109,2024-01-04,Disposal,5,268,Branch-LA,HR,End of life
TXN1797,ITEM1148,2024-01-04,Disposal,5,1320,Branch-NY,Marketing,End of life
TXN2028,ITEM1168,2024-01-04,Return,5,1942,Branch-Chicago,Operations,Defective
TXN2720,ITEM1224,2024-01-04,Disposal,10,378,HQ-Warehouse,Sales,End of life
TXN4136,ITEM1342,2024-01-04,Allocation,8,822,Branch-Seattle,IT,
TXN4453,ITEM1368,2024-01-04,Disposal,10,1413,Branch-Seattle,Sales,End of life
TXN4743,ITEM1393,2024-01-04,Purchase,4,1225,Branch-LA,IT,
TXN4764,ITEM1395,2024-01-04,Purchase,5,1998,Branch-Seattle,Marketing,
TXN4815,ITEM1398,2024-01-04,Transfer,2,1399,Branch-LA,IT,
TXN5301,ITEM1437,2024-01-04,Disposal,1,1432,Branch-NY,HR,End of life
TXN5314,ITEM1438,2024-01-04,Allocation,3,317,Remote-Stock,Operations,
TXN5442,ITEM1449,2024-01-04,Purchase,7,1124,Branch-LA,HR,
TXN5457,ITEM1450,2024-01-04,Transfer,10,1408,Remote-Stock,Finance,
TXN7284,ITEM1605,2024-01-04,Allocation,10,812,Remote-Stock,Operations,
TXN7795,ITEM1647,2024-01-04,Disposal,10,1507,Branch-Seattle,Marketing,End of life
TXN7935,ITEM1657,2024-01-04,Disposal,3,399,Branch-NY,HR,End of life
TXN21,ITEM1002,2024-01-05,Transfer,6,1843,HQ-Warehouse,Marketing,
TXN30,ITEM1003,2024-01-05,Transfer,2,206,Branch-LA,Engineering,
TXN320,ITEM1026,2024-01-05,Return,2,1813,Remote-Stock,Marketing,Defective
TXN345,ITEM1028,2024-01-05,Transfer,4,1694,Branch-NY,Sales,
TXN642,ITEM1054,2024-01-05,Disposal,3,1732,HQ-Warehouse,HR,End of life
TXN961,ITEM1079,2024-01-05,Disposal,4,1736,Branch-LA,Sales,End of life
TXN979,ITEM1081,2024-01-05,Return,1,343,Branch-Chicago,IT,Defective
TXN1502,ITEM1123,2024-01-05,Allocation,9,1503,Branch-NY,Finance,
TXN2339,ITEM1195,2024-01-05,Transfer,7,705,HQ-Warehouse,Engineering,
TXN2448,ITEM1203,2024-01-05,Allocation,5,437,Branch-Chicago,Sales,
TXN2600,ITEM1215,2024-01-05,Transfer,10,624,Branch-Chicago,Engineering,
TXN2739,ITEM1225,2024-01-05,Return,2,711,Remote-Stock,IT,Defective
TXN3096,ITEM1254,2024-01-05,Transfer,9,1206,Remote-Stock,HR,
TXN3156,ITEM1259,2024-01-05,Allocation,4,919,Branch-LA,IT,
TXN4130,ITEM1341,2024-01-05,Return,9,623,Remote-Stock,IT,Defective
TXN4656,ITEM1386,2024-01-05,Transfer,6,124,Branch-NY,HR,
TXN4753,ITEM1394,2024-01-05,Transfer,3,110,Branch-NY,Sales,
TXN4935,ITEM1407,2024-01-05,Disposal,3,1970,Branch-LA,Marketing,End of life
TXN5284,ITEM1436,2024-01-05,Return,7,1608,Branch-Seattle,Engineering,Defective
TXN5958,ITEM1491,2024-01-05,Return,1,1545,HQ-Warehouse,Engineering,Defective
TXN6343,ITEM1522,2024-01-05,Transfer,3,761,Remote-Stock,Marketing,
TXN6565,ITEM1543,2024-01-05,Transfer,5,1375,Branch-LA,HR,
TXN7363,ITEM1612,2024-01-05,Allocation,3,132,Remote-Stock,HR,
TXN7418,ITEM1616,2024-01-05,Disposal,2,1416,Branch-Seattle,IT,End of life
TXN7428,ITEM1617,2024-01-05,Purchase,1,1745,Branch-Seattle,HR,
TXN7441,ITEM1619,2024-01-05,Purchase,9,353,HQ-Warehouse,Operations,
TXN7715,ITEM1641,2024-01-05,Purchase,6,1890,Branch-Chicago,Marketing,
TXN7759,ITEM1644,2024-01-05,Return,3,868,Branch-Seattle,Operations,Defective
TXN627,ITEM1053,2024-01-06,Disposal,6,2048,Branch-Seattle,Engineering,End of life
TXN1964,ITEM1163,2024-01-06,Purchase,2,899,Branch-Seattle,Finance,
TXN3048,ITEM1249,2024-01-06,Transfer,9,170,Branch-NY,Operations,
TXN3872,ITEM1320,2024-01-06,Disposal,10,363,Remote-Stock,Operations,End of life
TXN3997,ITEM1331,2024-01-06,Allocation,8,1439,Branch-Seattle,Operations,
TXN4348,ITEM1359,2024-01-06,Purchase,1,720,Branch-Chicago,Engineering,
TXN4657,ITEM1386,2024-01-06,Disposal,3,151,Branch-NY,HR,End of life
TXN5467,ITEM1451,2024-01-06,Return,1,845,Branch-Chicago,HR,Defective
TXN5655,ITEM1466,2024-01-06,Purchase,4,2091,Branch-Seattle,IT,
TXN6205,ITEM1512,2024-01-06,Transfer,1,855,Branch-LA,Marketing,
TXN6247,ITEM1515,2024-01-06,Return,9,1810,Branch-NY,Operations,Defective
TXN7381,ITEM1614,2024-01-06,Purchase,6,1037,Branch-Chicago,HR,
TXN7761,ITEM1644,2024-01-06,Purchase,2,955,Branch-Seattle,Operations,
TXN7898,ITEM1655,2024-01-06,Disposal,8,107,Branch-NY,HR,End of life
TXN7989,ITEM1661,2024-01-06,Return,9,794,Branch-NY,IT,Defective
TXN8224,ITEM1682,2024-01-06,Allocation,4,293,Branch-Chicago,Engineering,
TXN189,ITEM1015,2024-01-07,Transfer,8,622,Branch-Seattle,Finance,
TXN448,ITEM1038,2024-01-07,Return,9,535,HQ-Warehouse,Operations,Defective
TXN646,ITEM1054,2024-01-07,Return,9,1666,HQ-Warehouse,HR,Defective
TXN1441,ITEM1118,2024-01-07,Return,8,2096,Branch-NY,Operations,Defective
TXN1449,ITEM1119,2024-01-07,Transfer,7,2030,Branch-Seattle,Marketing,
TXN1551,ITEM1128,2024-01-07,Transfer,5,1164,Branch-Seattle,HR,
TXN1712,ITEM1142,2024-01-07,Return,5,1000,Branch-Seattle,IT,Defective
TXN2044,ITEM1170,2024-01-07,Return,8,1755,Branch-NY,Marketing,Defective
TXN3104,ITEM1254,2024-01-07,Allocation,6,1220,Remote-Stock,HR,
TXN3171,ITEM1260,2024-01-07,Purchase,4,1085,HQ-Warehouse,Marketing,
TXN3186,ITEM1261,2024-01-07,Transfer,9,1804,Remote-Stock,Operations,
TXN3337,ITEM1273,2024-01-07,Transfer,9,437,Branch-Chicago,Finance,
TXN3843,ITEM1318,2024-01-07,Purchase,10,1328,HQ-Warehouse,Finance,
TXN4051,ITEM1336,2024-01-07,Allocation,2,438,Branch-NY,HR,
TXN4084,ITEM1338,2024-01-07,Purchase,3,535,Branch-LA,Marketing,
TXN4313,ITEM1356,2024-01-07,Allocation,6,521,Branch-LA,HR,
TXN4669,ITEM1387,2024-01-07,Transfer,5,593,Branch-LA,Operations,
TXN5382,ITEM1444,2024-01-07,Return,1,1413,Branch-LA,Operations,Defective
TXN5449,ITEM1450,2024-01-07,Return,3,1449,Remote-Stock,Finance,Defective
TXN5583,ITEM1460,2024-01-07,Allocation,3,480,Remote-Stock,HR,
TXN6035,ITEM1498,2024-01-07,Allocation,4,1120,Branch-LA,Engineering,
TXN6199,ITEM1512,2024-01-07,Disposal,3,926,Branch-LA,Marketing,End of life
TXN6971,ITEM1576,2024-01-07,Transfer,4,1756,Branch-Chicago,Sales,
TXN7172,ITEM1595,2024-01-07,Allocation,7,1023,Branch-Seattle,Operations,
TXN7235,ITEM1601,2024-01-07,Return,9,1055,HQ-Warehouse,Sales,Defective
TXN7337,ITEM1610,2024-01-07,Return,1,1539,Branch-Chicago,IT,Defective
TXN145,ITEM1012,2024-01-08,Transfer,5,1944,Branch-LA,HR,
TXN151,ITEM1013,2024-01-08,Disposal,2,642,Branch-Seattle,Finance,End of life
TXN1186,ITEM1097,2024-01-08,Purchase,5,189,Branch-Seattle,HR,
TXN1892,ITEM1156,2024-01-08,Purchase,8,801,Branch-NY,IT,
TXN3184,ITEM1261,2024-01-08,Disposal,10,1712,Remote-Stock,Operations,End of life
TXN3480,ITEM1284,2024-01-08,Purchase,4,1359,HQ-Warehouse,IT,
TXN3561,ITEM1292,2024-01-08,Allocation,1,682,Branch-Chicago,Operations,
TXN4100,ITEM1339,2024-01-08,Allocation,2,1631,Branch-Seattle,Sales,
TXN4185,ITEM1347,2024-01-08,Allocation,3,610,Branch-LA,Operations,
TXN4665,ITEM1387,2024-01-08,Return,10,599,Branch-LA,Operations,Defective
TXN4933,ITEM1407,2024-01-08,Return,4,1941,Branch-LA,Marketing,Defective
TXN5145,ITEM1423,2024-01-08,Return,3,543,Branch-NY,Finance,Defective
TXN5386,ITEM1444,2024-01-08,Allocation,10,1445,Branch-LA,Operations,
TXN5417,ITEM1448,2024-01-08,Purchase,5,2058,Branch-LA,IT,
TXN5516,ITEM1454,2024-01-08,Return,4,394,Remote-Stock,Marketing,Defective
TXN5607,ITEM1462,2024-01-08,Return,2,238,Branch-NY,Marketing,Defective
TXN6067,ITEM1501,2024-01-08,Allocation,4,1881,Branch-Seattle,Marketing,
TXN7293,ITEM1606,2024-01-08,Transfer,3,1518,Branch-LA,Operations,
TXN7645,ITEM1635,2024-01-08,Transfer,1,1817,HQ-Warehouse,Marketing,
TXN59,ITEM1006,2024-01-09,Purchase,8,834,Branch-LA,Operations,
TXN105,ITEM1009,2024-01-09,Transfer,6,729,Branch-NY,HR,
TXN349,ITEM1028,2024-01-09,Purchase,3,1758,Branch-NY,Sales,
TXN757,ITEM1064,2024-01-09,Allocation,6,586,Branch-Seattle,Marketing,
TXN835,ITEM1069,2024-01-09,Return,9,606,Remote-Stock,Sales,Defective
TXN981,ITEM1081,2024-01-09,Return,2,342,Branch-Chicago,IT,Defective
TXN1078,ITEM1090,2024-01-09,Transfer,6,1551,Branch-LA,IT,
TXN1660,ITEM1138,2024-01-09,Allocation,4,1909,Remote-Stock,Operations,
TXN1744,ITEM1144,2024-01-09,Disposal,10,1460,Branch-NY,Sales,End of life
TXN1768,ITEM1146,2024-01-09,Disposal,3,147,Branch-LA,Operations,End of life
TXN1936,ITEM1160,2024-01-09,Purchase,9,180,HQ-Warehouse,Sales,
TXN2497,ITEM1208,2024-01-09,Transfer,1,1322,Branch-LA,Operations,
TXN2669,ITEM1221,2024-01-09,Return,5,654,Branch-LA,HR,Defective
TXN3915,ITEM1324,2024-01-09,Disposal,1,405,Branch-Seattle,IT,End of life
TXN4339,ITEM1358,2024-01-09,Allocation,3,1099,Branch-Seattle,Finance,
TXN4369,ITEM1361,2024-01-09,Transfer,10,1079,Branch-Chicago,Engineering,
TXN4650,ITEM1386,2024-01-09,Return,6,168,Branch-NY,HR,Defective
TXN5641,ITEM1465,2024-01-09,Transfer,1,1172,Remote-Stock,HR,
TXN5760,ITEM1473,2024-01-09,Purchase,6,499,Branch-Seattle,HR,
TXN6081,ITEM1503,2024-01-09,Transfer,8,344,HQ-Warehouse,Marketing,
TXN6378,ITEM1526,2024-01-09,Purchase,10,500,Branch-LA,Engineering,
TXN6621,ITEM1548,2024-01-09,Allocation,5,315,HQ-Warehouse,Sales,
TXN6822,ITEM1564,2024-01-09,Transfer,3,519,HQ-Warehouse,Finance,
TXN6852,ITEM1566,2024-01-09,Transfer,5,1256,Remote-Stock,Finance,
TXN7029,ITEM1581,2024-01-09,Disposal,3,97,Branch-Chicago,Engineering,End of life
TXN7192,ITEM1597,2024-01-09,Return,2,380,Branch-LA,IT,Defective
TXN7226,ITEM1600,2024-01-09,Disposal,1,615,HQ-Warehouse,Marketing,End of life
TXN7793,ITEM1647,2024-01-09,Allocation,2,1495,Branch-Seattle,Marketing,
TXN22,ITEM1002,2024-01-10,Allocation,3,1893,HQ-Warehouse,Marketing,
TXN308,ITEM1026,2024-01-10,Return,6,1786,Remote-Stock,Marketing,Defective
TXN1136,ITEM1093,2024-01-10,Purchase,4,1995,Branch-Seattle,Sales,
TXN1435,ITEM1118,2024-01-10,Transfer,2,2072,Branch-NY,Operations,
TXN2329,ITEM1195,2024-01-10,Allocation,8,765,HQ-Warehouse,Engineering,
TXN2522,ITEM1210,2024-01-10,Disposal,9,412,HQ-Warehouse,Operations,End of life
TXN2710,ITEM1223,2024-01-10,Transfer,1,1711,Branch-NY,HR,
TXN2862,ITEM1235,2024-01-10,Return,9,510,Branch-Chicago,IT,Defective
TXN2876,ITEM1237,2024-01-10,Purchase,9,708,Branch-Seattle,HR,
TXN3281,ITEM1269,2024-01-10,Purchase,7,633,Branch-Seattle,Operations,
TXN3401,ITEM1279,2024-01-10,Transfer,6,1798,Branch-Seattle,Operations,
TXN3504,ITEM1286,2024-01-10,Return,1,472,Branch-LA,Operations,Defective
TXN3913,ITEM1324,2024-01-10,Allocation,10,440,Branch-Seattle,IT,
TXN4217,ITEM1349,2024-01-10,Allocation,3,621,Branch-LA,Operations,
TXN4410,ITEM1364,2024-01-10,Return,5,481,Branch-NY,Marketing,Defective
TXN4687,ITEM1389,2024-01-10,Return,9,103,Remote-Stock,Marketing,Defective
TXN4863,ITEM1401,2024-01-10,Disposal,6,760,Branch-LA,Operations,End of life
TXN4865,ITEM1402,2024-01-10,Allocation,2,1797,Branch-Chicago,IT,
TXN4889,ITEM1404,2024-01-10,Purchase,7,1331,Remote-Stock,Sales,
TXN4908,ITEM1405,2024-01-10,Purchase,2,899,Branch-Seattle,HR,
TXN5112,ITEM1421,2024-01-10,Return,5,1139,Branch-LA,Marketing,Defective
TXN5315,ITEM1438,2024-01-10,Allocation,8,327,Remote-Stock,Operations,
TXN5333,ITEM1440,2024-01-10,Return,2,706,HQ-Warehouse,Marketing,Defective
TXN5580,ITEM1460,2024-01-10,Transfer,8,397,Remote-Stock,HR,
TXN5854,ITEM1481,2024-01-10,Disposal,6,2116,HQ-Warehouse,Sales,End of life
TXN5873,ITEM1483,2024-01-10,Disposal,3,311,HQ-Warehouse,Engineering,End of life
TXN5909,ITEM1487,2024-01-10,Purchase,9,910,Branch-Chicago,HR,
TXN6057,ITEM1501,2024-01-10,Disposal,7,1876,Branch-Seattle,Marketing,End of life
TXN6236,ITEM1514,2024-01-10,Disposal,6,1850,Branch-Chicago,Operations,End of life
TXN6620,ITEM1548,2024-01-10,Disposal,8,292,HQ-Warehouse,Sales,End of life
TXN7412,ITEM1616,2024-01-10,Allocation,2,1424,Branch-Seattle,IT,
TXN7445,ITEM1619,2024-01-10,Return,5,351,HQ-Warehouse,Operations,Defective
TXN7511,ITEM1625,2024-01-10,Transfer,9,1841,Remote-Stock,Engineering,
TXN147,ITEM1012,2024-01-11,Purchase,9,1930,Branch-LA,HR,
TXN534,ITEM1044,2024-01-11,Disposal,6,1365,Branch-Chicago,Operations,End of life
TXN706,ITEM1058,2024-01-11,Transfer,7,452,Branch-Seattle,Sales,
TXN1357,ITEM1110,2024-01-11,Purchase,4,687,HQ-Warehouse,IT,
TXN1764,ITEM1145,2024-01-11,Disposal,7,756,Remote-Stock,Engineering,End of life
TXN1834,ITEM1152,2024-01-11,Transfer,4,1806,Remote-Stock,Sales,
TXN2281,ITEM1191,2024-01-11,Disposal,4,813,Branch-Seattle,IT,End of life
TXN2390,ITEM1199,2024-01-11,Transfer,3,1195,Branch-Chicago,Finance,
TXN2462,ITEM1204,2024-01-11,Disposal,10,1908,Branch-LA,HR,End of life
TXN2666,ITEM1220,2024-01-11,Return,1,1969,Branch-Chicago,IT,Defective
TXN3077,ITEM1252,2024-01-11,Return,4,1598,Branch-LA,HR,Defective
TXN3097,ITEM1254,2024-01-11,Disposal,10,1183,Remote-Stock,HR,End of life
TXN3332,ITEM1272,2024-01-11,Disposal,9,711,Branch-NY,Sales,End of life
TXN3355,ITEM1274,2024-01-11,Allocation,10,1342,Branch-LA,IT,
TXN3642,ITEM1299,2024-01-11,Allocation,7,278,Branch-Chicago,IT,
TXN3697,ITEM1304,2024-01-11,Allocation,9,568,Branch-LA,Finance,
TXN3980,ITEM1329,2024-01-11,Purchase,7,287,Branch-LA,Finance,
TXN4020,ITEM1333,2024-01-11,Allocation,9,160,Branch-NY,Marketing,
TXN4294,ITEM1355,2024-01-11,Disposal,7,1073,HQ-Warehouse,Operations,End of life
TXN4407,ITEM1364,2024-01-11,Disposal,1,471,Branch-NY,Marketing,End of life
TXN4997,ITEM1412,2024-01-11,Allocation,6,525,Branch-LA,Engineering,
TXN5027,ITEM1414,2024-01-11,Purchase,8,781,Remote-Stock,Engineering,
TXN5362,ITEM1443,2024-01-11,Allocation,7,1602,Remote-Stock,HR,
TXN5488,ITEM1452,2024-01-11,Return,10,635,Branch-NY,IT,Defective
TXN5908,ITEM1486,2024-01-11,Purchase,7,935,Branch-NY,HR,
TXN5920,ITEM1487,2024-01-11,Allocation,4,903,Branch-Chicago,HR,
TXN6094,ITEM1503,2024-01-11,Purchase,5,410,HQ-Warehouse,Marketing,
TXN6135,ITEM1506,2024-01-11,Disposal,3,446,Branch-Seattle,HR,End of life
TXN7305,ITEM1607,2024-01-11,Return,2,1688,Branch-Seattle,Sales,Defective
TXN7379,ITEM1614,2024-01-11,Allocation,10,955,Branch-Chicago,HR,
TXN7853,ITEM1651,2024-01-11,Disposal,8,840,Branch-Chicago,IT,End of life
TXN83,ITEM1008,2024-01-12,Purchase,2,1975,Branch-Chicago,Marketing,
TXN694,ITEM1058,2024-01-12,Purchase,9,459,Branch-Seattle,Sales,
TXN777,ITEM1065,2024-01-12,Transfer,7,1663,Branch-Seattle,IT,
TXN899,ITEM1075,2024-01-12,Purchase,5,491,Remote-Stock,IT,
TXN1213,ITEM1100,2024-01-12,Allocation,4,920,Remote-Stock,IT,
TXN1526,ITEM1125,2024-01-12,Disposal,3,1723,Branch-Chicago,Marketing,End of life
TXN2004,ITEM1165,2024-01-12,Transfer,1,1645,Branch-LA,Sales,
TXN2585,ITEM1214,2024-01-12,Transfer,1,1095,Remote-Stock,Finance,
TXN3014,ITEM1247,2024-01-12,Allocation,2,2013,Branch-Seattle,HR,
TXN3127,ITEM1257,2024-01-12,Allocation,1,690,Branch-LA,Finance,
TXN4272,ITEM1352,2024-01-12,Allocation,10,1458,Branch-Seattle,IT,
TXN4420,ITEM1365,2024-01-12,Return,5,1257,Remote-Stock,Finance,Defective
TXN4786,ITEM1397,2024-01-12,Disposal,4,219,Branch-Seattle,Sales,End of life
TXN4974,ITEM1410,2024-01-12,Transfer,6,528,Remote-Stock,Sales,
TXN5279,ITEM1435,2024-01-12,Allocation,5,348,Branch-Chicago,Operations,
TXN5340,ITEM1441,2024-01-12,Disposal,6,1486,Branch-NY,IT,End of life
TXN5343,ITEM1441,2024-01-12,Allocation,5,1495,Branch-NY,IT,
TXN5419,ITEM1448,2024-01-12,Return,10,2018,Branch-LA,IT,Defective
TXN6281,ITEM1517,2024-01-12,Transfer,9,411,Branch-Seattle,HR,
TXN6658,ITEM1551,2024-01-12,Disposal,5,161,Branch-Chicago,Operations,End of life
TXN6880,ITEM1568,2024-01-12,Purchase,9,1495,Branch-Seattle,Engineering,
TXN7138,ITEM1591,2024-01-12,Purchase,3,519,Remote-Stock,IT,
TXN7514,ITEM1625,2024-01-12,Disposal,2,1826,Remote-Stock,Engineering,End of life
TXN7755,ITEM1644,2024-01-12,Return,9,930,Branch-Seattle,Operations,Defective
TXN7791,ITEM1647,2024-01-12,Purchase,10,1497,Branch-Seattle,Marketing,
TXN7835,ITEM1650,2024-01-12,Return,7,1677,Branch-Seattle,Finance,Defective
TXN738,ITEM1062,2024-01-13,Purchase,8,897,Branch-Chicago,HR,
TXN1013,ITEM1083,2024-01-13,Return,8,2090,Remote-Stock,Operations,Defective
TXN1168,ITEM1095,2024-01-13,Return,9,1817,Branch-LA,Engineering,Defective
TXN1619,ITEM1135,2024-01-13,Transfer,4,184,Remote-Stock,Marketing,
TXN1639,ITEM1136,2024-01-13,Purchase,2,350,Branch-LA,Marketing,
TXN2099,ITEM1175,2024-01-13,Purchase,7,198,Branch-NY,Finance,
TXN2268,ITEM1189,2024-01-13,Allocation,4,1173,Branch-NY,Finance,
TXN2808,ITEM1231,2024-01-13,Purchase,5,1555,Branch-NY,HR,
TXN3585,ITEM1294,2024-01-13,Purchase,8,2091,Remote-Stock,Engineering,
TXN3820,ITEM1316,2024-01-13,Purchase,9,1750,Branch-Chicago,Marketing,
TXN4257,ITEM1352,2024-01-13,Purchase,2,1431,Branch-Seattle,IT,
TXN4839,ITEM1400,2024-01-13,Disposal,7,1492,Branch-NY,Finance,End of life
TXN5144,ITEM1423,2024-01-13,Disposal,9,534,Branch-NY,Finance,End of life
TXN5834,ITEM1480,2024-01-13,Allocation,3,1736,HQ-Warehouse,Marketing,
TXN5987,ITEM1493,2024-01-13,Allocation,1,1055,Branch-LA,Operations,
TXN6303,ITEM1519,2024-01-13,Disposal,1,1847,Branch-Chicago,Engineering,End of life
TXN6585,ITEM1544,2024-01-13,Disposal,10,618,Branch-Seattle,Operations,End of life
TXN6839,ITEM1565,2024-01-13,Return,10,1374,Branch-Chicago,Engineering,Defective
TXN6926,ITEM1573,2024-01-13,Disposal,6,1234,Branch-LA,Sales,End of life
TXN6983,ITEM1577,2024-01-13,Purchase,10,1360,Remote-Stock,Operations,
TXN7012,ITEM1580,2024-01-13,Disposal,10,263,Branch-Chicago,HR,End of life
TXN7070,ITEM1585,2024-01-13,Return,10,1398,Remote-Stock,Engineering,Defective
TXN7114,ITEM1589,2024-01-13,Transfer,5,718,Branch-Seattle,Engineering,
TXN7957,ITEM1658,2024-01-13,Purchase,7,425,Branch-LA,Engineering,
TXN8068,ITEM1667,2024-01-13,Return,1,874,Branch-LA,HR,Defective
TXN27,ITEM1003,2024-01-14,Allocation,2,218,Branch-LA,Engineering,
TXN148,ITEM1012,2024-01-14,Purchase,5,1972,Branch-LA,HR,
