WarrantyID,ItemID,ItemName,Vendor,PurchaseDate,WarrantyMonths,WarrantyExpiryDate,WarrantyStatus,DaysToExpiry,HasExtendedWarranty
WAR28,ITEM1040,Dell Laptops 5485,Dell,2024-06-09,36,2027-06-09,Active,560,Yes
WAR29,ITEM1043,Microsoft Laptops 4877,Microsoft,2022-06-05,48,2026-06-05,Active,191,No
WAR30,ITEM1044,Microsoft Laptops 3913,Microsoft,2024-05-20,48,2028-05-20,Active,906,Yes
WAR31,ITEM1045,Apple Laptops 6444,Apple,2024-07-28,48,2028-07-28,Active,975,No
WAR32,ITEM1046,Dell Laptops 1067,Dell,2022-04-16,24,2024-04-16,Expired,-589,No
WAR33,ITEM1048,HP Laptops 1077,HP,2024-03-21,36,2027-03-21,Active,480,No
WAR34,ITEM1049,Dell Laptops 4103,Dell,2022-01-05,36,2025-01-05,Expired,-325,No
WAR35,ITEM1050,Samsung Laptops 1000,Samsung,2023-12-12,36,2026-12-12,Active,381,No
WAR36,ITEM1051,Logitech Laptops 6649,Logitech,2023-03-07,12,2024-03-07,Expired,-629,No
WAR37,ITEM1052,Microsoft Laptops 5427,Microsoft,2023-03-05,24,2025-03-05,Expired,-266,No
WAR38,ITEM1053,ASUS Laptops 3565,ASUS,2023-09-09,12,2024-09-09,Expired,-443,No
WAR39,ITEM1054,Samsung Laptops 6241,Samsung,2023-03-24,24,2025-03-24,Expired,-247,No
WAR40,ITEM1055,Logitech Laptops 6184,Logitech,2024-01-26,36,2027-01-26,Active,426,No
WAR41,ITEM1056,Microsoft Laptops 4509,Microsoft,2022-06-26,24,2024-06-26,Expired,-518,No
WAR42,ITEM1057,Cisco Laptops 1530,Cisco,2023-08-13,48,2027-08-13,Active,625,No
WAR43,ITEM1058,Microsoft Laptops 4396,Microsoft,2022-06-20,12,2023-06-20,Expired,-890,No
WAR44,ITEM1059,LG Laptops 3047,LG,2024-06-03,24,2026-06-03,Active,189,No
WAR45,ITEM1060,Samsung Laptops 7153,Samsung,2024-02-21,48,2028-02-21,Active,817,No
WAR46,ITEM1063,HP Laptops 4768,HP,2023-04-14,48,2027-04-14,Active,504,Yes
WAR47,ITEM1064,Dell Laptops 4208,Dell,2023-06-09,12,2024-06-09,Expired,-535,No
WAR48,ITEM1066,Logitech Laptops 3385,Logitech,2022-11-14,12,2023-11-14,Expired,-743,Yes
WAR49,ITEM1068,Cisco Laptops 8549,Cisco,2022-03-27,48,2026-03-27,Active,121,Yes
WAR50,ITEM1070,Samsung Laptops 8983,Samsung,2024-07-29,48,2028-07-29,Active,976,Yes
WAR51,ITEM1071,HP Laptops 3748,HP,2022-08-22,36,2025-08-22,Expired,-96,Yes
WAR52,ITEM1072,LG Desktops 6866,LG,2023-06-03,36,2026-06-03,Active,189,No
WAR53,ITEM1073,Apple Desktops 9669,Apple,2023-11-01,48,2027-11-01,Active,705,No
WAR54,ITEM1074,ASUS Desktops 2817,ASUS,2022-10-22,36,2025-10-22,Expired,-35,No
WAR55,ITEM1075,Dell Desktops 5636,Dell,2022-09-17,24,2024-09-17,Expired,-435,No
WAR56,ITEM1078,Cisco Desktops 3547,Cisco,2023-01-15,24,2025-01-15,Expired,-315,No
WAR57,ITEM1079,Cisco Desktops 6115,Cisco,2023-07-11,36,2026-07-11,Active,227,Yes
WAR58,ITEM1080,Apple Desktops 4502,Apple,2024-08-25,48,2028-08-25,Active,1003,No
WAR59,ITEM1081,Cisco Desktops 4864,Cisco,2023-03-07,24,2025-03-07,Expired,-264,No
WAR60,ITEM1083,LG Desktops 4282,LG,2022-01-05,48,2026-01-05,Expiring Soon,40,No
WAR61,ITEM1086,ASUS Desktops 2964,ASUS,2024-05-15,36,2027-05-15,Active,535,No
WAR62,ITEM1088,Lenovo Desktops 4845,Lenovo,2024-08-07,12,2025-08-07,Expired,-111,No
WAR63,ITEM1089,Cisco Desktops 1979,Cisco,2023-08-31,12,2024-08-31,Expired,-452,No
WAR64,ITEM1090,LG Desktops 7974,LG,2024-05-06,36,2027-05-06,Active,526,No
WAR65,ITEM1091,HP Desktops 2037,HP,2023-08-03,48,2027-08-03,Active,615,Yes
WAR66,ITEM1093,Cisco Desktops 5733,Cisco,2022-07-03,24,2024-07-03,Expired,-511,No
WAR67,ITEM1094,Cisco Desktops 1061,Cisco,2022-03-18,12,2023-03-18,Expired,-984,No
WAR68,ITEM1096,Logitech Desktops 3101,Logitech,2023-01-23,24,2025-01-23,Expired,-307,Yes
WAR69,ITEM1098,Logitech Desktops 8369,Logitech,2023-03-19,36,2026-03-19,Active,113,No
WAR70,ITEM1100,HP Desktops 3409,HP,2023-06-16,36,2026-06-16,Active,202,No
WAR71,ITEM1102,Microsoft Desktops 1649,Microsoft,2024-03-31,12,2025-03-31,Expired,-240,No
WAR72,ITEM1104,Apple Desktops 7571,Apple,2022-09-18,24,2024-09-18,Expired,-434,Yes
WAR73,ITEM1106,Logitech Desktops 1186,Logitech,2022-06-16,36,2025-06-16,Expired,-163,No
WAR74,ITEM1107,Dell Desktops 8576,Dell,2024-02-18,12,2025-02-18,Expired,-281,Yes
WAR75,ITEM1108,LG Desktops 6098,LG,2022-07-13,12,2023-07-13,Expired,-867,Yes
WAR76,ITEM1109,Apple Desktops 8359,Apple,2022-03-22,36,2025-03-22,Expired,-249,No
WAR77,ITEM1110,HP Desktops 4002,HP,2022-04-21,48,2026-04-21,Active,146,Yes
WAR78,ITEM1112,Samsung Desktops 7704,Samsung,2022-09-25,48,2026-09-25,Active,303,No
WAR79,ITEM1113,Samsung Desktops 1721,Samsung,2022-11-25,36,2025-11-25,Expired,-1,No
WAR80,ITEM1114,Dell Desktops 6929,Dell,2022-10-17,48,2026-10-17,Active,325,No
WAR81,ITEM1115,Microsoft Desktops 7268,Microsoft,2024-02-26,36,2027-02-26,Active,457,Yes
WAR82,ITEM1116,LG Desktops 4164,LG,2022-03-19,12,2023-03-19,Expired,-983,No
WAR83,ITEM1117,Dell Desktops 2722,Dell,2023-08-05,24,2025-08-05,Expired,-113,No
WAR84,ITEM1118,HP Desktops 8035,HP,2023-02-04,48,2027-02-04,Active,435,No
WAR85,ITEM1121,Logitech Desktops 2463,Logitech,2024-04-09,36,2027-04-09,Active,499,No
WAR86,ITEM1122,LG Desktops 3374,LG,2024-02-23,24,2026-02-23,Expiring Soon,89,Yes
WAR87,ITEM1123,HP Desktops 8749,HP,2022-03-11,24,2024-03-10,Expired,-625,Yes
WAR88,ITEM1124,Microsoft Desktops 4569,Microsoft,2022-10-03,48,2026-10-03,Active,311,Yes
WAR89,ITEM1125,ASUS Desktops 5308,ASUS,2024-08-31,48,2028-08-31,Active,1009,Yes
WAR90,ITEM1126,Cisco Desktops 2061,Cisco,2024-02-25,48,2028-02-25,Active,821,No
WAR91,ITEM1129,Logitech Monitors 5442,Logitech,2023-03-22,48,2027-03-22,Active,481,Yes
WAR92,ITEM1131,Apple Monitors 8017,Apple,2022-08-25,24,2024-08-25,Expired,-458,No
WAR93,ITEM1134,Apple Monitors 7765,Apple,2023-06-06,48,2027-06-06,Active,557,Yes
WAR94,ITEM1135,Microsoft Monitors 7132,Microsoft,2023-04-03,36,2026-04-03,Active,128,No
WAR95,ITEM1136,Dell Monitors 2796,Dell,2022-09-24,12,2023-09-24,Expired,-794,No
WAR96,ITEM1137,LG Monitors 4924,LG,2022-06-23,36,2025-06-23,Expired,-156,No
WAR97,ITEM1138,Samsung Monitors 5198,Samsung,2024-06-23,36,2027-06-23,Active,574,No
WAR98,ITEM1139,ASUS Monitors 8544,ASUS,2024-07-27,48,2028-07-27,Active,974,Yes
WAR99,ITEM1140,ASUS Monitors 3555,ASUS,2023-07-31,12,2024-07-31,Expired,-483,Yes
WAR100,ITEM1142,ASUS Monitors 4715,ASUS,2023-06-21,48,2027-06-21,Active,572,No
WAR101,ITEM1143,HP Monitors 3593,HP,2022-09-24,24,2024-09-24,Expired,-428,Yes
WAR102,ITEM1145,Logitech Monitors 4003,Logitech,2023-07-29,48,2027-07-29,Active,610,Yes
WAR103,ITEM1146,Apple Monitors 3057,Apple,2023-11-27,36,2026-11-27,Active,366,No
WAR104,ITEM1147,LG Monitors 6945,LG,2023-03-12,36,2026-03-11,Active,106,No
WAR105,ITEM1148,Cisco Monitors 9472,Cisco,2024-06-23,12,2025-06-23,Expired,-156,No
WAR106,ITEM1149,Apple Monitors 2145,Apple,2023-08-22,36,2026-08-22,Active,269,Yes
WAR107,ITEM1151,Cisco Monitors 4089,Cisco,2024-09-11,48,2028-09-11,Active,1020,No
WAR108,ITEM1154,Logitech Monitors 6572,Logitech,2022-07-16,48,2026-07-16,Active,232,Yes
WAR109,ITEM1156,Logitech Monitors 3495,Logitech,2022-08-27,24,2024-08-27,Expired,-456,No
WAR110,ITEM1157,Lenovo Monitors 4137,Lenovo,2022-06-03,48,2026-06-03,Active,189,No
WAR111,ITEM1158,HP Monitors 1475,HP,2022-10-09,48,2026-10-09,Active,317,No
WAR112,ITEM1159,ASUS Monitors 2644,ASUS,2022-04-09,24,2024-04-09,Expired,-596,No
WAR113,ITEM1160,Samsung Monitors 1599,Samsung,2023-12-11,36,2026-12-11,Active,380,No
WAR114,ITEM1162,LG Monitors 1367,LG,2022-04-08,36,2025-04-08,Expired,-232,No
WAR115,ITEM1164,Dell Monitors 4069,Dell,2023-04-18,48,2027-04-18,Active,508,No
WAR116,ITEM1166,Logitech Monitors 2048,Logitech,2022-03-25,36,2025-03-25,Expired,-246,No
WAR117,ITEM1167,Samsung Monitors 9505,Samsung,2024-02-27,36,2027-02-27,Active,458,No
WAR118,ITEM1168,HP Monitors 2173,HP,2023-08-25,36,2026-08-25,Active,272,No
WAR119,ITEM1173,ASUS Monitors 2240,ASUS,2023-12-01,48,2027-12-01,Active,735,Yes
WAR120,ITEM1175,Cisco Monitors 3236,Cisco,2023-05-29,36,2026-05-29,Active,184,No
WAR121,ITEM1176,ASUS Monitors 4015,ASUS,2022-05-11,12,2023-05-11,Expired,-930,Yes
WAR122,ITEM1179,Logitech Keyboards 4609,Logitech,2023-12-06,12,2024-12-06,Expired,-355,No
WAR123,ITEM1181,LG Keyboards 5150,LG,2024-04-05,24,2026-04-05,Active,130,No
WAR124,ITEM1182,Microsoft Keyboards 2015,Microsoft,2022-11-03,48,2026-11-03,Active,342,No
WAR125,ITEM1183,Microsoft Keyboards 5105,Microsoft,2024-02-03,12,2025-02-03,Expired,-296,No
WAR126,ITEM1185,Cisco Keyboards 3646,Cisco,2022-04-08,36,2025-04-08,Expired,-232,Yes
WAR127,ITEM1186,LG Keyboards 4848,LG,2022-01-22,48,2026-01-22,Expiring Soon,57,No
WAR128,ITEM1187,Logitech Keyboards 4790,Logitech,2023-05-26,36,2026-05-26,Active,181,Yes
WAR129,ITEM1189,Samsung Keyboards 1652,Samsung,2022-06-30,24,2024-06-30,Expired,-514,Yes
WAR130,ITEM1190,Apple Keyboards 5672,Apple,2022-08-15,12,2023-08-15,Expired,-834,No
WAR131,ITEM1193,Logitech Keyboards 8166,Logitech,2023-04-29,12,2024-04-29,Expired,-576,Yes
WAR132,ITEM1194,Microsoft Keyboards 2204,Microsoft,2023-02-22,12,2024-02-22,Expired,-643,Yes
WAR133,ITEM1195,Lenovo Keyboards 6719,Lenovo,2023-01-29,36,2026-01-29,Expiring Soon,64,No
WAR134,ITEM1196,ASUS Keyboards 9177,ASUS,2022-09-06,12,2023-09-06,Expired,-812,No
WAR135,ITEM1197,LG Keyboards 7296,LG,2022-02-16,36,2025-02-16,Expired,-283,No
WAR136,ITEM1198,Cisco Keyboards 8965,Cisco,2024-03-22,24,2026-03-22,Active,116,No
WAR137,ITEM1199,HP Keyboards 4294,HP,2024-05-21,24,2026-05-21,Active,176,No
WAR138,ITEM1201,Lenovo Keyboards 8257,Lenovo,2023-09-06,12,2024-09-06,Expired,-446,No
WAR139,ITEM1203,Logitech Keyboards 7427,Logitech,2023-01-03,48,2027-01-03,Active,403,No
WAR140,ITEM1204,Microsoft Keyboards 7588,Microsoft,2022-12-30,48,2026-12-30,Active,399,Yes
WAR141,ITEM1205,Logitech Keyboards 2094,Logitech,2023-05-10,36,2026-05-10,Active,165,Yes
WAR142,ITEM1206,Cisco Keyboards 9719,Cisco,2022-11-02,48,2026-11-02,Active,341,Yes
WAR143,ITEM1207,Dell Keyboards 5535,Dell,2024-07-01,36,2027-07-01,Active,582,Yes
WAR144,ITEM1208,Lenovo Keyboards 6184,Lenovo,2023-06-17,36,2026-06-17,Active,203,Yes
WAR145,ITEM1209,ASUS Keyboards 6567,ASUS,2023-05-03,48,2027-05-03,Active,523,Yes
WAR146,ITEM1210,Lenovo Keyboards 2865,Lenovo,2022-03-31,12,2023-03-31,Expired,-971,No
WAR147,ITEM1211,LG Keyboards 8294,LG,2022-10-17,12,2023-10-17,Expired,-771,No
WAR148,ITEM1212,ASUS Keyboards 1220,ASUS,2024-03-18,24,2026-03-18,Active,112,No
WAR149,ITEM1213,Microsoft Keyboards 3836,Microsoft,2022-09-07,12,2023-09-07,Expired,-811,No
WAR150,ITEM1214,Microsoft Keyboards 2087,Microsoft,2022-03-13,12,2023-03-12,Expired,-989,No
WAR151,ITEM1215,ASUS Keyboards 4880,ASUS,2022-09-02,48,2026-09-02,Active,280,No
WAR152,ITEM1216,LG Keyboards 2066,LG,2022-10-27,12,2023-10-27,Expired,-761,Yes
WAR153,ITEM1217,HP Keyboards 5139,HP,2023-04-29,24,2025-04-29,Expired,-211,No
WAR154,ITEM1218,ASUS Keyboards 1004,ASUS,2023-04-23,36,2026-04-23,Active,148,No
WAR155,ITEM1220,Apple Keyboards 5332,Apple,2022-12-22,12,2023-12-22,Expired,-705,No
WAR156,ITEM1222,LG Keyboards 4170,LG,2023-03-17,12,2024-03-17,Expired,-619,Yes
WAR157,ITEM1224,Cisco Keyboards 9678,Cisco,2022-03-26,12,2023-03-26,Expired,-976,Yes
WAR158,ITEM1225,LG Keyboards 7536,LG,2023-06-26,36,2026-06-26,Active,212,No
WAR159,ITEM1226,LG Keyboards 8079,LG,2023-06-05,36,2026-06-05,Active,191,No
WAR160,ITEM1227,LG Keyboards 3042,LG,2022-12-28,12,2023-12-28,Expired,-699,Yes
WAR161,ITEM1228,Dell Keyboards 6283,Dell,2023-10-11,36,2026-10-11,Active,319,No
WAR162,ITEM1229,Logitech Keyboards 5260,Logitech,2022-03-02,48,2026-03-02,Active,96,No
WAR163,ITEM1230,Logitech Keyboards 1858,Logitech,2022-07-28,12,2023-07-28,Expired,-852,Yes
WAR164,ITEM1232,Samsung Keyboards 6653,Samsung,2024-01-09,48,2028-01-09,Active,774,Yes
WAR165,ITEM1233,HP Keyboards 7485,HP,2022-12-12,24,2024-12-12,Expired,-349,No
WAR166,ITEM1235,Lenovo Keyboards 7528,Lenovo,2022-09-11,12,2023-09-11,Expired,-807,No
WAR167,ITEM1236,Apple Keyboards 5686,Apple,2023-06-24,48,2027-06-24,Active,575,No
WAR168,ITEM1237,Lenovo Keyboards 7474,Lenovo,2023-08-22,36,2026-08-22,Active,269,No
WAR169,ITEM1238,Cisco Keyboards 1964,Cisco,2023-10-07,48,2027-10-07,Active,680,No
WAR170,ITEM1239,Logitech Keyboards 6343,Logitech,2022-04-07,24,2024-04-07,Expired,-598,No
WAR171,ITEM1242,Cisco Keyboards 3148,Cisco,2024-04-27,36,2027-04-27,Active,517,No
WAR172,ITEM1244,ASUS Keyboards 1192,ASUS,2022-11-26,24,2024-11-26,Expired,-365,No
WAR173,ITEM1245,Dell Keyboards 1821,Dell,2022-02-08,12,2023-02-08,Expired,-1022,No
WAR174,ITEM1246,Cisco Keyboards 3348,Cisco,2022-04-12,12,2023-04-12,Expired,-959,No
WAR175,ITEM1247,Samsung Keyboards 6402,Samsung,2022-10-27,48,2026-10-27,Active,335,No
WAR176,ITEM1248,Microsoft Keyboards 8679,Microsoft,2024-05-18,24,2026-05-18,Active,173,Yes
WAR177,ITEM1249,Microsoft Keyboards 1402,Microsoft,2023-02-07,48,2027-02-07,Active,438,No
WAR178,ITEM1252,Apple Keyboards 1046,Apple,2023-05-20,12,2024-05-20,Expired,-555,Yes
WAR179,ITEM1255,Cisco Mice 8001,Cisco,2023-11-27,36,2026-11-27,Active,366,No
WAR180,ITEM1256,LG Mice 1976,LG,2023-09-02,12,2024-09-02,Expired,-450,No
WAR181,ITEM1257,Microsoft Mice 2799,Microsoft,2023-06-26,12,2024-06-26,Expired,-518,No
WAR182,ITEM1258,Cisco Mice 8276,Cisco,2022-12-09,48,2026-12-09,Active,378,No
WAR183,ITEM1259,Cisco Mice 4456,Cisco,2024-03-04,36,2027-03-04,Active,463,No
WAR184,ITEM1261,Dell Mice 5327,Dell,2024-03-15,12,2025-03-15,Expired,-256,No
WAR185,ITEM1263,Lenovo Mice 5549,Lenovo,2024-04-30,24,2026-04-30,Active,155,No
WAR186,ITEM1266,Cisco Mice 9698,Cisco,2022-03-13,12,2023-03-12,Expired,-989,No
WAR187,ITEM1268,Microsoft Mice 2365,Microsoft,2023-03-07,48,2027-03-07,Active,466,Yes
WAR188,ITEM1270,Apple Mice 5651,Apple,2022-02-04,36,2025-02-04,Expired,-295,Yes
WAR189,ITEM1271,Lenovo Mice 3421,Lenovo,2024-03-07,36,2027-03-07,Active,466,Yes
WAR190,ITEM1273,Microsoft Mice 9722,Microsoft,2023-02-17,24,2025-02-17,Expired,-282,No
WAR191,ITEM1274,Lenovo Mice 6886,Lenovo,2022-09-25,48,2026-09-25,Active,303,No
WAR192,ITEM1275,HP Mice 8732,HP,2024-03-28,12,2025-03-28,Expired,-243,Yes
WAR193,ITEM1276,HP Mice 3586,HP,2022-08-10,36,2025-08-10,Expired,-108,Yes
WAR194,ITEM1277,Dell Mice 5318,Dell,2023-07-18,24,2025-07-18,Expired,-131,No
WAR195,ITEM1278,Apple Mice 2660,Apple,2023-11-03,12,2024-11-03,Expired,-388,No
WAR196,ITEM1280,Samsung Mice 5748,Samsung,2022-10-15,48,2026-10-15,Active,323,No
WAR197,ITEM1281,LG Mice 4510,LG,2023-04-12,36,2026-04-12,Active,137,No
WAR198,ITEM1282,Microsoft Mice 2512,Microsoft,2022-02-24,48,2026-02-24,Active,90,Yes
WAR199,ITEM1283,HP Mice 3159,HP,2022-12-30,48,2026-12-30,Active,399,No
WAR200,ITEM1288,Samsung Mice 4332,Samsung,2023-08-04,48,2027-08-04,Active,616,No
WAR201,ITEM1290,LG Mice 2723,LG,2024-09-25,36,2027-09-25,Active,668,Yes
WAR202,ITEM1291,Cisco Mice 8602,Cisco,2024-05-15,24,2026-05-15,Active,170,No
WAR203,ITEM1292,ASUS Mice 5319,ASUS,2024-05-06,48,2028-05-06,Active,892,No
WAR204,ITEM1295,Samsung Mice 1426,Samsung,2023-06-25,36,2026-06-25,Active,211,Yes
WAR205,ITEM1296,Dell Mice 3174,Dell,2023-02-01,48,2027-02-01,Active,432,No
WAR206,ITEM1298,Logitech Mice 6577,Logitech,2022-07-29,48,2026-07-29,Active,245,No
WAR207,ITEM1300,LG Mice 8397,LG,2023-05-28,48,2027-05-28,Active,548,No
WAR208,ITEM1301,Microsoft Mice 7940,Microsoft,2023-01-09,48,2027-01-09,Active,409,Yes
WAR209,ITEM1303,Apple Mice 6058,Apple,2024-04-29,48,2028-04-29,Active,885,No
WAR210,ITEM1305,Samsung Mice 3307,Samsung,2023-06-17,36,2026-06-17,Active,203,Yes
WAR211,ITEM1308,LG Mice 4869,LG,2023-06-27,48,2027-06-27,Active,578,No
WAR212,ITEM1310,ASUS Mice 9234,ASUS,2022-02-25,48,2026-02-25,Active,91,No
WAR213,ITEM1311,Apple Mice 5236,Apple,2024-01-20,12,2025-01-20,Expired,-310,No
WAR214,ITEM1312,LG Mice 5793,LG,2022-07-18,12,2023-07-18,Expired,-862,Yes
WAR215,ITEM1313,Apple Mice 8189,Apple,2023-02-09,48,2027-02-09,Active,440,No
WAR216,ITEM1314,Logitech Mice 6594,Logitech,2024-09-21,48,2028-09-21,Active,1030,No
WAR217,ITEM1315,Lenovo Mice 8847,Lenovo,2024-05-23,24,2026-05-23,Active,178,No
WAR218,ITEM1316,ASUS Headsets 3060,ASUS,2022-05-12,36,2025-05-12,Expired,-198,No
WAR219,ITEM1317,LG Headsets 4351,LG,2024-05-25,48,2028-05-25,Active,911,Yes
WAR220,ITEM1318,LG Headsets 8597,LG,2023-04-11,36,2026-04-11,Active,136,Yes
WAR221,ITEM1319,HP Headsets 8848,HP,2022-06-06,48,2026-06-06,Active,192,No
WAR222,ITEM1320,HP Headsets 8449,HP,2022-06-10,24,2024-06-10,Expired,-534,No
WAR223,ITEM1321,Dell Headsets 4446,Dell,2023-10-29,24,2025-10-29,Expired,-28,Yes
WAR224,ITEM1322,Logitech Headsets 4694,Logitech,2023-12-09,36,2026-12-09,Active,378,No
WAR225,ITEM1324,Microsoft Headsets 1743,Microsoft,2023-03-19,24,2025-03-19,Expired,-252,Yes
WAR226,ITEM1325,Lenovo Headsets 2024,Lenovo,2022-07-13,48,2026-07-13,Active,229,No
WAR227,ITEM1326,LG Headsets 1936,LG,2023-03-22,48,2027-03-22,Active,481,No
WAR228,ITEM1327,HP Headsets 2220,HP,2023-03-07,48,2027-03-07,Active,466,No
WAR229,ITEM1328,Microsoft Headsets 8638,Microsoft,2022-07-04,12,2023-07-04,Expired,-876,No
WAR230,ITEM1329,Microsoft Headsets 4228,Microsoft,2023-02-10,48,2027-02-10,Active,441,No
WAR231,ITEM1330,Cisco Headsets 5827,Cisco,2024-01-03,24,2026-01-03,Expiring Soon,38,No
WAR232,ITEM1331,Logitech Headsets 6759,Logitech,2024-07-02,12,2025-07-02,Expired,-147,No
WAR233,ITEM1332,Samsung Headsets 4842,Samsung,2023-03-22,48,2027-03-22,Active,481,No
WAR234,ITEM1333,LG Headsets 7403,LG,2023-05-22,48,2027-05-22,Active,542,No
WAR235,ITEM1334,Lenovo Headsets 9885,Lenovo,2023-02-23,48,2027-02-23,Active,454,No
WAR236,ITEM1335,HP Headsets 8977,HP,2023-10-26,24,2025-10-26,Expired,-31,No
WAR237,ITEM1336,Logitech Headsets 9724,Logitech,2024-02-25,24,2026-02-25,Active,91,Yes
WAR238,ITEM1337,Cisco Headsets 4298,Cisco,2023-04-28,36,2026-04-28,Active,153,No
WAR239,ITEM1339,Lenovo Headsets 2905,Lenovo,2022-01-23,48,2026-01-23,Expiring Soon,58,No
WAR240,ITEM1340,Cisco Headsets 2998,Cisco,2022-12-08,36,2025-12-08,Expiring Soon,12,No
WAR241,ITEM1343,Microsoft Headsets 3896,Microsoft,2023-01-23,36,2026-01-23,Expiring Soon,58,No
WAR242,ITEM1344,LG Headsets 9833,LG,2023-05-18,12,2024-05-18,Expired,-557,No
WAR243,ITEM1345,Logitech Headsets 1852,Logitech,2022-07-29,12,2023-07-29,Expired,-851,Yes
WAR244,ITEM1348,Cisco Headsets 8654,Cisco,2022-11-26,36,2025-11-26,Expiring Soon,0,No
WAR245,ITEM1350,Samsung Headsets 7670,Samsung,2024-07-15,24,2026-07-15,Active,231,No
WAR246,ITEM1351,Samsung Headsets 5717,Samsung,2022-10-06,48,2026-10-06,Active,314,Yes
WAR247,ITEM1353,Apple Headsets 1107,Apple,2024-03-20,36,2027-03-20,Active,479,No
WAR248,ITEM1354,Dell Headsets 6835,Dell,2023-07-28,12,2024-07-28,Expired,-486,No
WAR249,ITEM1355,Lenovo Headsets 7117,Lenovo,2022-12-26,24,2024-12-26,Expired,-335,No
WAR250,ITEM1356,HP Headsets 3609,HP,2022-06-08,36,2025-06-08,Expired,-171,No
WAR251,ITEM1357,Logitech Headsets 1832,Logitech,2024-05-26,36,2027-05-26,Active,546,No
WAR252,ITEM1358,ASUS Headsets 3329,ASUS,2022-11-01,12,2023-11-01,Expired,-756,No
WAR253,ITEM1359,Samsung Headsets 1919,Samsung,2023-11-10,24,2025-11-10,Expired,-16,Yes
WAR254,ITEM1360,Microsoft Headsets 5059,Microsoft,2022-10-03,36,2025-10-03,Expired,-54,Yes
WAR255,ITEM1361,Cisco Headsets 5101,Cisco,2023-07-13,48,2027-07-13,Active,594,No
WAR256,ITEM1362,Microsoft Headsets 1265,Microsoft,2024-02-20,48,2028-02-20,Active,816,No
WAR257,ITEM1363,LG Headsets 2880,LG,2024-05-04,36,2027-05-04,Active,524,No
WAR258,ITEM1364,Lenovo Headsets 8775,Lenovo,2024-06-27,24,2026-06-27,Active,213,No
WAR259,ITEM1367,Lenovo Headsets 5324,Lenovo,2024-06-27,36,2027-06-27,Active,578,Yes
WAR260,ITEM1368,Samsung Webcams 8197,Samsung,2022-07-03,12,2023-07-03,Expired,-877,Yes
WAR261,ITEM1369,LG Webcams 1123,LG,2024-08-28,12,2025-08-28,Expired,-90,No
