order_year,order_month,year_month,total_revenue,total_cost_price,total_profit,least_revenue_month_of_the_year,least_revenue_of_the_year,highest_revenue_month_of_the_year,highest_revenue_of_the_year,previous_month_profit,month_over_month_growth_percentage
2022,6,2022-06,85858.390127182,41433.979205213138,44424.410921968854,2,70190.049992799759,11,111681.64008188248,46814.7953275071,-5.11
2022,7,2022-07,90853.950126767159,43590.728752587434,47263.221374179717,2,70190.049992799759,11,111681.64008188248,44424.410921968854,6.39
2022,8,2022-08,98118.940126419067,47249.722154926421,50869.217971492646,2,70190.049992799759,11,111681.64008188248,47263.221374179717,7.63
2022,9,2022-09,96353.590065956116,46464.9680682461,49888.621997710026,2,70190.049992799759,11,111681.64008188248,50869.217971492646,-1.93
2022,10,2022-10,104209.94000196457,49777.583946105486,54432.356055859076,2,70190.049992799759,11,111681.64008188248,49888.621997710026,9.11
2022,11,2022-11,111681.64008188248,53649.369454027874,58032.270627854596,2,70190.049992799759,11,111681.64008188248,54432.356055859076,6.61
2022,12,2022-12,107400.24012303352,51721.072346554436,55679.16777647908,2,70190.049992799759,11,111681.64008188248,58032.270627854596,-4.05
2023,1,2023-01,119345.57011222839,57474.950716830128,61870.619395398251,2,112378.08004546165,10,171569.67016746476,,
2023,2,2023-02,112378.08004546165,54188.152472779751,58189.9275726819,2,112378.08004546165,10,171569.67016746476,61870.619395398251,-5.95
2023,3,2023-03,131051.32013249397,62872.769654512085,68178.550477981873,2,112378.08004546165,10,171569.67016746476,58189.9275726819,17.17
2023,4,2023-04,127829.25011467934,61107.190331433216,66722.0597832461,2,112378.08004546165,10,171569.67016746476,68178.550477981873,-2.14
2023,5,2023-05,132017.14017081261,63083.4875383706,68933.652632442,2,112378.08004546165,10,171569.67016746476,66722.0597832461,3.31
2023,6,2023-06,131450.41021180153,63416.179471177471,68034.230740624043,2,112378.08004546165,10,171569.67016746476,68933.652632442,-1.3
2023,7,2023-07,143846.90026893094,69260.440094294274,74586.460174636682,2,112378.08004546165,10,171569.67016746476,68034.230740624043,9.63
2023,8,2023-08,146474.62023687363,70578.6596133333,75895.960623540333,2,112378.08004546165,10,171569.67016746476,74586.460174636682,1.76
2023,9,2023-09,145809.03015875816,70489.4324530561,75319.597705702065,2,112378.08004546165,10,171569.67016746476,75895.960623540333,-0.76
2023,10,2023-10,171569.67016746476,82752.370935603583,88817.2992318612,2,112378.08004546165,10,171569.67016746476,75319.597705702065,17.92
2023,11,2023-11,159424.77003824711,76728.917311955738,82695.85272629137,2,112378.08004546165,10,171569.67016746476,88817.2992318612,-6.89
2023,12,2023-12,168454.21009588242,80953.409034309967,87500.801061572492,2,112378.08004546165,10,171569.67016746476,82695.85272629137,5.81
2024,1,2024-01,163568.44015123323,78867.354794187122,84701.0853570461,2,160751.16014039516,12,261362.31034135818,,
2024,2,2024-02,160751.16014039516,77253.17042932543,83497.989711069764,2,160751.16014039516,12,261362.31034135818,84701.0853570461,-1.42
2024,3,2024-03,195009.29016780853,93348.414059255781,101660.87610855271,2,160751.16014039516,12,261362.31034135818,83497.989711069764,21.75
2024,4,2024-04,186118.24017333984,89407.35916043492,96710.8810129049,2,160751.16014039516,12,261362.31034135818,101660.87610855271,-4.87
2024,5,2024-05,202376.59021019936,97317.010659120569,105059.57955107876,2,160751.16014039516,12,261362.31034135818,96710.8810129049,8.63
2024,6,2024-06,200179.70020532608,96184.242543839515,103995.45766148654,2,160751.16014039516,12,261362.31034135818,105059.57955107876,-1.01
2024,7,2024-07,212305.65008354187,101986.10289739397,110319.54718614787,2,160751.16014039516,12,261362.31034135818,103995.45766148654,6.08
2024,8,2024-08,231036.39022612572,111312.87692602217,119723.51330010354,2,160751.16014039516,12,261362.31034135818,110319.54718614787,8.52
2024,9,2024-09,223789.48038446903,108042.00812166468,115747.47226280437,2,160751.16014039516,12,261362.31034135818,119723.51330010354,-3.32
2024,10,2024-10,241421.2701690197,116685.10826435138,124736.16190466832,2,160751.16014039516,12,261362.31034135818,115747.47226280437,7.77
2024,11,2024-11,252194.94029462337,121317.07184172273,130877.8684529006,2,160751.16014039516,12,261362.31034135818,124736.16190466832,4.92
2024,12,2024-12,261362.31034135818,125193.49395894901,136168.81638240919,2,160751.16014039516,12,261362.31034135818,130877.8684529006,4.04
2025,1,2025-01,270673.68027021363,130244.93933954735,140428.74093066627,2,269515.27038657665,10,641277.910572052,,
2025,2,2025-02,269515.27038657665,130262.71731740334,139252.5530691733,2,269515.27038657665,10,641277.910572052,140428.74093066627,-0.84
2025,3,2025-03,310465.65041220188,148936.43473732675,161529.21567487504,2,269515.27038657665,10,641277.910572052,139252.5530691733,16
2025,4,2025-04,323809.1002613306,156080.66524627319,167728.43501505745,2,269515.27038657665,10,641277.910572052,161529.21567487504,3.84
2025,5,2025-05,341198.84010982513,164932.58863607317,176266.25147375191,2,269515.27038657665,10,641277.910572052,167728.43501505745,5.09
2025,6,2025-06,346043.730281353,166154.20601056473,179889.52427078821,2,269515.27038657665,10,641277.910572052,176266.25147375191,2.06
2025,7,2025-07,396987.99043607712,190645.63311735468,206342.35731872235,2,269515.27038657665,10,641277.910572052,179889.52427078821,14.71
2025,8,2025-08,445369.33046364784,214228.22623173249,231141.10423191544,2,269515.27038657665,10,641277.910572052,206342.35731872235,12.02
2025,9,2025-09,499634.05049490929,240069.19048194724,259564.86001296219,2,269515.27038657665,10,641277.910572052,231141.10423191544,12.3
2025,10,2025-10,641277.910572052,309782.80258146278,331495.10799058917,2,269515.27038657665,10,641277.910572052,259564.86001296219,27.71
2025,11,2025-11,445811.82056438923,214494.08417722833,231317.73638716093,2,269515.27038657665,10,641277.910572052,331495.10799058917,-30.22
